feature,importance
amount,0.5550960940618165
customer_avg_amount,0.12634154580460355
monthly_income,0.038300867614825616
credit_score,0.03659712206436415
account_tenure_days,0.03559116561426347
customer_txn_count,0.032415621069329804
customer_age,0.03225011066986045
hour,0.0264319403792971
account_type_Credit Card,0.004658385211907284
txn_type_Credit,0.004576612868496424
channel_Online,0.004507575648117861
account_type_Savings,0.004467701966291088
channel_ATM,0.00436889619999836
account_type_Current,0.004227513724283258
txn_type_Debit,0.004063506538892269
